path,size_bytes,sha256
checks-final.json,3328,18588f94c7c92ef78a138e7f1c3ec06aff78325f6f8251e139da2c1a0ca3cd0d
checks.json,3238,c6204593938033442c93b7e65fade72365e8f8e4c9f7757666f750a7de8c81af
compile-final.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
compile.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
dependencies-final.log,67,c2b57a7af7859c071664494cee60e4b0d167170da322ed82ad928852aff54991
dependencies.log,67,302bcca4079ec312401aa9422845180371e914b3f4c48a1a9b17b63135f36fb3
diff-docs.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
diff-final.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
diff.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
dry-run-final.log,7379,82eee371bb52a56f4097c445d77c5bdb1fbb441945ead864e7a8b29098dbb402
dry-run.log,7379,549234a05f25ba2d8dd6114c9fd83241f4f583e54dfaf9da4a29e8d5198d45d3
filesystem-probe.json,503,cf6504799a71c1550c97640cdde09509a12a133cf265c109ed69c3e58d953488
fixture-smoke-final.log,943,8a01f57d145e5cb2d6a5e3e96ab976fd39190ac5ae3053e14036474e9887aa62
fixture-smoke.log,1861,b4be0e641f391d7a16f312f983f620c394365ad169e0e47b90dccbbc6658d673
fixture_smoke.py,4348,999bc10b61496d84c980dc4123bfdb6b7a94a07142d54322c0f30f3a90e63118
local-evaluator-final-command.json,1546,ad1bd4d4fb0597cd886daf3e9e3395695c29d81b55c69a76b08de3dab797f0f2
local-evaluator-final.log,370,d22ea95857b3e2ab22899fd56157a409018521769f677742de1544e93d882ec6
modal-sdk-final.log,129,977cdc2cfcf040908cf7b1873ab079b38c2b34964fe1caf084229119fbbc3e86
modal-sdk.log,129,977cdc2cfcf040908cf7b1873ab079b38c2b34964fe1caf084229119fbbc3e86
README.md,4477,3b4b57700b08e1f3038a0aabaabc57422f25ffdd5f7c1befd0d6704df682872c
regression-after.json,316,436c519dbee8a3afbc9bd7d038a7f6153c7438ad23500913c4ca37bb4937db83
regression-after.log,1738,07026a8c46aca0a00d45fad4eb5eb18d60a259beb868a4899960d34030d847e4
regression-before.json,379,cefd5cd0e3d88dd39a3fe46a15cec9041612a9ac24f6625a46aa3b93d4ce67a2
regression-before.log,23738,2e403dc4a05e9a86e6670f65f2091cd45769af0ccf97cfe1c37b38e686697652
software-fixture-final/exported-evidence/hashes.csv,796,558d0f1c180858e143e8cda93862927eef37c5c84a53333f364043b08e791b13
software-fixture-final/exported-evidence/oracle_decisions.jsonl,510,84638bb4c922854b750a1d42136deed16a3e3a019318e7fba2b5f6ab893f8c13
software-fixture-final/exported-evidence/per_query_metrics.csv,226,623bbb1d0c3fd6972ee44c8a13e782151c4cb7bee56f666e82d3331a37eaa328
software-fixture-final/exported-evidence/provenance.json,6083,ba57aebb3339b8dfea0eca15066664d0b3e1d79a8de3d5ba445befc7164758d8
software-fixture-final/exported-evidence/query_ids.csv,58,20838c7d07bf8502085c8d7a1b75a836ac5609a4a8a5bbae3b9d8c86f41a98fc
software-fixture-final/exported-evidence/receipt.json,2229,cb8219a78b341f0fde7ba9adc401b8314147e00431b84f52e93884b21cd587f4
software-fixture-final/exported-evidence/resolved_config.json,2676,5c76fd80b6a0a5ec7925930a3e662a480a8059076644cf749ad5b91f653b9f21
software-fixture-final/exported-evidence/review.md,1000,121f41606bbe246bf8605b0854177c4cbe7610ed32a49b5ab4d4099c5e4b8ed1
software-fixture-final/exported-evidence/run.log,180,8fd6181a77310fe4433f3611c42e531f5311cbc2fae830b18d9d47809978e6db
software-fixture-final/exported-evidence/status.json,158,0270dd6d4224248840fe062c6405a976936f82531def18c0da5388a3048d3ad6
software-fixture-final/exported-evidence/summary.json,6608,07a9357d3d9be5edb7649547dd392cc1ca6db42249d80fc0ad8a78b6865c7547
software-fixture-final/exported-evidence/upstream/bm25/hashes.csv,526,c477d31ef51574669f9be1ce80210c283dde852b3390297b10f9a4af90ad551a
software-fixture-final/exported-evidence/upstream/bm25/provenance.json,5837,550c4d4a7499e4fa8e9566bd3b1070d38b91d9b00aa5699fdb0675fabafc9c72
software-fixture-final/exported-evidence/upstream/bm25/receipt.json,1494,3d459dc602f52ef21615931f2de4cbcffbde6cc6deecca026611b2162234205e
software-fixture-final/exported-evidence/upstream/bm25/resolved_config.json,2676,5c76fd80b6a0a5ec7925930a3e662a480a8059076644cf749ad5b91f653b9f21
software-fixture-final/exported-evidence/upstream/bm25/run.log,152,cd61e54bf3a3ba79a6b81fcf02c5eaee870bf3ee6727d68fdee5c2f85d5fc09c
software-fixture-final/exported-evidence/upstream/bm25/scores.json,263,fc89fafaaabf9f5cd7d7323f714add32558b61079386e68f21ca0e08b5e87934
software-fixture-final/exported-evidence/upstream/bm25/status.json,158,c2bac4fd4cae43832c7cdf7ff07d7b0d2010ac586a39d8a39a16537877840740
software-fixture-final/exported-evidence/upstream/dense/hashes.csv,525,bb5a30d457a9a3099e54af738ac7d836757008a43f9ed0b15f36f2b71e1ca976
software-fixture-final/exported-evidence/upstream/dense/provenance.json,5837,893f2aa9557eb5d401128a0e9ad9414cf12493c0709ae7a1710c7a5df47a1150
software-fixture-final/exported-evidence/upstream/dense/receipt.json,1493,e3e9db8675588608a7c1362d7f1a7a8b594dd82402b1fc58d1230584265021ff
software-fixture-final/exported-evidence/upstream/dense/resolved_config.json,2676,5c76fd80b6a0a5ec7925930a3e662a480a8059076644cf749ad5b91f653b9f21
software-fixture-final/exported-evidence/upstream/dense/run.log,97,38417465e876c0d33b2ec2ebde668d4f09b15137444870ebb7812ae8fa25f90f
software-fixture-final/exported-evidence/upstream/dense/scores.json,264,3d054172c167e843b10007338182c4ac2707fc1a9f82a6b623641c8936748f2e
software-fixture-final/exported-evidence/upstream/dense/status.json,158,25fbde767f9d5392b1eb8af1a15f01eaf2f0574879972bff03f3387ec771ef3b
software-fixture-final/exported-evidence/upstream/prepare/dataset.json,111,98a6ebfdae2284d848f099369f73b1e147b76548fde7fa00f7e74624630e0c08
