method,step,fixture_loss,gradient_l1
QARF,0,0.5705374380642615,0.7438673078770269
QARF,1,0.565958682244719,0.7148243943690233
QARF,2,0.5617192671853,0.6838322435884868
QARF,3,0.5578261238753571,0.6518364549134468
QARF,4,0.5542737994888055,0.6196334158657326
QARF,5,0.5510477848138838,0.5878524812043826
QARF,6,0.5481276450594169,0.5569608185659244
QARF,7,0.5454896463379232,0.5272819865037551
QARF,8,0.5431087704875563,0.49902066852157634
QARF,9,0.5409601426264257,0.4728140513510667
QARF,10,0.5390199628486054,0.4496821752848649
QARF,11,0.5372660542786792,0.42797107398405265
QARF,12,0.5356781338579277,0.4076444989665015
QARF,13,0.5342378944952261,0.3886452439386773
QARF,14,0.5329289666409603,0.37090353233206425
QARF,15,0.531736808527232,0.35434307175418417
QARF,16,0.530648559012709,0.3388852989891803
QARF,17,0.5296528753901759,0.3244522625550196
QARF,18,0.5287397701885101,0.31096850353376587
QARF,19,0.5279004552486476,0.2983622149710212
QARF,20,0.5271271975156415,0.2865658918242727
QARF,21,0.5264131885157968,0.2755166285028677
QARF,22,0.5257524279553634,0.2651561784217432
QARF,23,0.5251396209755879,0.25549238179669764
QARF,24,0.524570088109314,0.24699931515017706
QARF,25,0.5240396867566162,0.23900851078517793
QARF,26,0.5235447429302029,0.2314816874739491
QARF,27,0.5230819920491719,0.224383837829148
QARF,28,0.5226485276392465,0.21768296497916315
QARF,29,0.5222417569019612,0.21134982810783973
QARF,30,0.5218593622278314,0.20535770135491527
QARF,31,0.5214992678396794,0.1996821485300984
QARF,32,0.5211596108566483,0.19430081471052246
QARF,33,0.5208387161644259,0.18919323487468886
QARF,34,0.5205350745618873,0.18434065913690922
QARF,35,0.5202473237287877,0.17972589378498058
QARF,36,0.5199742316239045,0.17533315711940922
QARF,37,0.5197146819789659,0.17114794899459407
QARF,38,0.5194676616017933,0.1671569329354012
QARF,39,0.5192322492432773,0.16334782972158357
QPAF,0,0.5747279679628075,0.7853925496908511
QPAF,1,0.5700389514058105,0.7527366760912251
QPAF,2,0.5657255436398095,0.7190679615257527
QPAF,3,0.5617803031136227,0.6852280433519028
QPAF,4,0.5581862168449298,0.6518684292237162
QPAF,5,0.5549202744931118,0.6194625960628299
QPAF,6,0.5519563468781081,0.5883311744726885
QPAF,7,0.5492673100527857,0.5586716389089263
QPAF,8,0.5468264926927948,0.5305871039533503
QPAF,9,0.5446085809759995,0.5041114679485583
QPAF,10,0.5425901215747844,0.4792299389693254
QPAF,11,0.5407497452663238,0.45589501309983077
QPAF,12,0.5390682074196734,0.43403846905675747
QPAF,13,0.5375283159636233,0.4135801059296157
QPAF,14,0.5361147959962662,0.39447429102258025
QPAF,15,0.5348141237786195,0.37689367383709804
QPAF,16,0.5336143509864079,0.3604297472551775
QPAF,17,0.5325049318705218,0.3450012666197943
QPAF,18,0.5314765604723733,0.33053113805011397
QPAF,19,0.5305210214722168,0.3176304072188354
QPAF,20,0.5296310560127282,0.30672153118310835
QPAF,21,0.5288002424966152,0.2964386284926225
QPAF,22,0.5280228915967056,0.2867362925852959
QPAF,23,0.5272939543286511,0.2775725176640923
QPAF,24,0.5266089418788296,0.26890854344148396
QPAF,25,0.5259638558605235,0.26070866786798375
QPAF,26,0.5253551277302206,0.25294004427800737
QPAF,27,0.5247795661951586,0.24557247407672697
QPAF,28,0.524234311559713,0.23857820231617582
QPAF,29,0.5237167960779914,0.23193172084390434
QPAF,30,0.5232247094951512,0.2256095818425498
QPAF,31,0.5227559690663603,0.21973012425769287
QPAF,32,0.5223086934381651,0.21452882586081537
QPAF,33,0.521881179861911,0.20969863578114248
QPAF,34,0.5214718842831187,0.2051585074066758
QPAF,35,0.5210794039151718,0.2008898557358605
QPAF,36,0.5207024619612558,0.19695491800895998
QPAF,37,0.5203398941962571,0.19322324071510885
QPAF,38,0.5199906371612365,0.18965441055066715
QPAF,39,0.5196537177580873,0.18623913233304712
